cycle number,ox/red,control changes,Ns changes,time/s,step time/s,Ecell/V,<I>/mA,Capacity/mA.h,Q discharge/mA.h,Q charge/mA.h,dq/mA.h,Efficiency/%,Unnamed: 13
11.0,1,0,0,1275489.349161923,1181.934140898287,1.9926938,1.176435124670767,0.386238864615162,0.0,0.386238864615162,0.001196696094406976,0.0,
11.0,1,0,0,1275492.819162335,1185.404141310602,2.002701,1.176420661525528,0.3873728035542036,0.0,0.3873728035542036,0.001133938939041562,0.0,
11.0,1,0,0,1275496.037162721,1188.622141696513,2.0127082,1.176419783025112,0.3884243922530279,0.0,0.3884243922530279,0.001051588698824247,0.0,
11.0,1,0,0,1275499.039163079,1191.624142054468,2.0227549,1.176428624405016,0.3894054031284649,0.0,0.3894054031284649,0.0009810108754369949,0.0,
11.0,1,0,0,1275501.869163416,1194.454142391682,2.0328016,1.176417058862572,0.3903301977599328,0.0,0.3903301977599328,0.0009247946314679252,0.0,
11.0,1,0,0,1275504.531163735,1197.116142710671,2.0428088,1.176447494507085,0.3912001154281695,0.0,0.3912001154281695,0.0008699176682366265,0.0,
11.0,1,0,0,1275507.033164032,1199.618143007159,2.0528159,1.176444294547767,0.3920177443097696,0.0,0.3920177443097696,0.000817628881600168,0.0,
11.0,1,0,0,1275509.373164311,1201.958143285941,2.0628233,1.17644094895005,0.3927824310176901,0.0,0.3927824310176901,0.0007646867079204984,0.0,
11.0,1,0,0,1275511.561164573,1204.146143548191,2.0728304,1.176450162631281,0.3934974513689014,0.0,0.3934974513689014,0.0007150203512112299,0.0,
11.0,1,0,0,1275513.625164817,1206.210143792676,2.0828378,1.176424799113392,0.394171935000287,0.0,0.394171935000287,0.0006744836313856972,0.0,
11.0,1,0,0,1275515.571165048,1208.156144022942,2.092845,1.176413713944059,0.3948078520442379,0.0,0.3948078520442379,0.0006359170439508226,0.0,
11.0,1,0,0,1275517.391165266,1209.976144241169,2.1028523,1.176442320423813,0.3954026090664333,0.0,0.3954026090664333,0.0005947570221953922,0.0,
11.0,1,0,0,1275519.095165469,1211.680144444108,2.1128988,1.176387247999213,0.3959594324301348,0.0,0.3959594324301348,0.0005568233637015025,0.0,
11.0,1,0,0,1275520.727165665,1213.312144640833,2.1229062,1.176420754122066,0.39649274323629,0.0,0.39649274323629,0.0005333108061552048,0.0,
11.0,1,0,0,1275522.239165846,1214.824144821614,2.1329529,1.176412062037173,0.3969868363614213,0.0,0.3969868363614213,0.0004940931251313952,0.0,
11.0,1,0,0,1275523.677166015,1216.262144990265,2.143039,1.176465735116746,0.3974567691185076,0.0,0.3974567691185076,0.000469932757086224,0.0,
11.0,1,0,0,1275525.031166179,1217.616145154461,2.1530461,1.176414310107761,0.3978992316654654,0.0,0.3978992316654654,0.0004424625469578637,0.0,
11.0,1,0,0,1275526.30116633,1218.886145304888,2.1630535,1.176430202796904,0.3983142501472763,0.0,0.3983142501472763,0.0004150184818108876,0.0,
11.0,1,0,0,1275527.497166473,1220.082145448541,2.1731396,1.176430324083419,0.3987050864907767,0.0,0.3987050864907767,0.0003908363435003492,0.0,
11.0,1,0,0,1275528.635166607,1221.220145582221,2.1832254,1.176445243097287,0.3990769739474189,0.0,0.3990769739474189,0.0003718874566422568,0.0,
11.0,1,0,0,1275529.701166734,1222.286145709455,2.1932328,1.176438018078316,0.3994253303576839,0.0,0.3994253303576839,0.0003483564102649689,0.0,
11.0,1,0,0,1275530.701166853,1223.286145828664,2.2032399,1.17646009058236,0.3997521248662471,0.0,0.3997521248662471,0.0003267945085631476,0.0,
11.0,1,0,0,1275531.647166966,1224.232145940885,2.2132473,1.176418395494701,0.4000612615146238,0.0,0.4000612615146238,0.0003091366483767827,0.0,
11.0,1,0,0,1275532.533167072,1225.118146046996,2.2233334,1.176432602942115,0.400350794684357,0.0,0.400350794684357,0.0002895331697331534,0.0,
11.0,1,0,0,1275533.383167173,1225.968146148138,2.2333405,1.176409927520991,0.4006285581725172,0.0,0.4006285581725172,0.0002777634881602393,0.0,
