"","mode","ox.red","error","control.changes","Ns.changes","counter.inc.","Ns","I.Range","time.s","control.mA","Ewe.V","X.I..mA","dq.mA.h","X.Q.Qo..mA.h","Energy.W.h","Q.charge.discharge.mA.h","half.cycle"
"1443",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14395.9266837698,1.26699995994568,0.0922759398818016,1.2663871049881,0.00351698405497604,-0.0313551558550861,0.000464561254720698,0.604927046715816,7
"1444",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14405.9266842448,1.26699995994568,0.0921972021460533,1.26599323749542,0.00351698405153222,-0.0278381718035539,0.000464885861472668,0.608444030767348,7
"1445",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14415.9266847197,1.26699995994568,0.0921972021460533,1.26599323749542,0.00351700735721323,-0.0243211644463407,0.000465210142069238,0.611961038124561,7
"1446",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14425.9266851947,1.26699995994568,0.0921578258275986,1.2663871049881,0.00351701358682579,-0.0208041508595149,0.000465534139682835,0.615478051711387,7
"1447",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14435.9266856697,1.26699995994568,0.0920397117733955,1.26599323749542,0.00351693395813306,-0.0172872169013818,0.000465857834223743,0.61899498566952,7
"1448",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14445.9266861447,1.26699995994568,0.0919216051697731,1.26559948921204,0.00351701150364346,-0.0137702053977384,0.000466181324157812,0.622511997173164,7
"1449",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14455.9266866196,1.26699995994568,0.0918034911155701,1.26579642295837,0.00351706772757901,-0.0102531376701593,0.000466504653487944,0.626029064900743,7
"1450",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14465.9266870946,1.26699995994568,0.0918034911155701,1.26559948921204,0.00351710272153219,-0.00673603494862715,0.000466827735956901,0.629546167622275,7
"1451",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14475.9226875694,1.26699995994568,0.0917247459292412,1.26619005203247,0.00351574878334999,-0.00322028616527716,0.000467150428265886,0.633061916405625,7
"1452",1,FALSE,FALSE,FALSE,TRUE,FALSE,1,115,14475.9246875695,-1.26699995994568,-0.0170567873865366,-1.23127937316895,-6.8404409620497e-07,-0.00322097020937337,0.00046715043993348,-6.8404409620497e-07,8
"1453",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14485.9246880445,-1.26699995994568,-0.0784358754754066,-1.26730346679688,-0.00352143519269096,-0.00674240540206432,0.000467416717131846,-0.00352211923678716,8
"1454",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14495.9246885194,-1.26699995994568,-0.067333310842514,-1.26769709587097,-0.00352145443929566,-0.01026385984136,0.000467675115838444,-0.00704357367608282,8
"1455",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14505.9246889944,-1.26699995994568,-0.0585536174476147,-1.26809084415436,-0.00352150157140361,-0.0137853614127636,0.000467895426956072,-0.0105650752474864,8
"1456",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14515.9246894694,-1.26699995994568,-0.0537897534668446,-1.26769709587097,-0.0035214441598124,-0.017306805572576,0.000468092587153436,-0.0140865194072988,8
"1457",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14525.9246899444,-1.26699995994568,-0.0509156845510006,-1.26710665225983,-0.00352145476890935,-0.0208282603414853,0.000468276567485142,-0.0176079741762082,8
"1458",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14535.9246904193,-1.26699995994568,-0.0489471405744553,-1.26690971851349,-0.00352149523119132,-0.0243497555726767,0.000468452039746555,-0.0211294694073995,8
"1459",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14545.9246908943,-1.26699995994568,-0.047726646065712,-1.26809084415436,-0.00352151852534877,-0.0278712740980254,0.000468621939161058,-0.0246509879327483,8
"1460",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14555.9246913693,-1.26699995994568,-0.0467423759400845,-1.26848447322845,-0.00352150671256913,-0.0313927808105946,0.000468787974391882,-0.0281724946453174,8
