cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	
0.000000000000000E+000	0	0	0	1.632600077544339E+001	1.632600077544339E+001	2.0856726E+000	-2.883116283764633E-001	5.055701448023320E-004	5.055701448023320E-004	0.000000000000000E+000	-3.956276421745618E-005
0.000000000000000E+000	0	0	0	1.685800080071203E+001	1.685800080071203E+001	2.0756249E+000	-2.883084953923890E-001	5.481757355895308E-004	5.481757355895308E-004	0.000000000000000E+000	-4.260559078719881E-005
0.000000000000000E+000	0	0	0	1.742800082778558E+001	1.742800082778558E+001	2.0656166E+000	-2.883071606666877E-001	5.938243715299501E-004	5.938243715299501E-004	0.000000000000000E+000	-4.564863594041930E-005
0.000000000000000E+000	0	0	0	1.803800085675903E+001	1.803800085675903E+001	2.0555689E+000	-2.882608279711119E-001	6.426685697005855E-004	6.426685697005855E-004	0.000000000000000E+000	-4.884419817063543E-005
0.000000000000000E+000	0	0	0	1.868800088763237E+001	1.868800088763237E+001	2.0454032E+000	-2.882935398058668E-001	6.947215724156964E-004	6.947215724156964E-004	0.000000000000000E+000	-5.205300271511078E-005
0.000000000000000E+000	0	0	0	1.938000092050061E+001	1.938000092050061E+001	2.0353949E+000	-2.882905663632391E-001	7.501374283598530E-004	7.501374283598530E-004	0.000000000000000E+000	-5.541585594415665E-005
0.000000000000000E+000	0	0	0	2.010600095498376E+001	2.010600095498376E+001	2.0253472E+000	-2.882886700735272E-001	8.082756462527647E-004	8.082756462527647E-004	0.000000000000000E+000	-5.813821789291170E-005
0.000000000000000E+000	0	0	0	2.085400099051185E+001	2.085400099051185E+001	2.0153389E+000	-2.882469145998935E-001	8.681669524643158E-004	8.681669524643158E-004	0.000000000000000E+000	-5.989130621155103E-005
0.000000000000000E+000	0	0	0	2.164400102803484E+001	2.164400102803484E+001	2.0053308E+000	-2.882821985828233E-001	9.314288823803268E-004	9.314288823803268E-004	0.000000000000000E+000	-6.326192991601096E-005
0.000000000000000E+000	0	0	0	2.246400106698275E+001	2.246400106698275E+001	1.9953226E+000	-2.882749190149044E-001	9.970915059414177E-004	9.970915059414177E-004	0.000000000000000E+000	-6.566262356109089E-005
0.000000000000000E+000	0	0	0	2.331200110726058E+001	2.331200110726058E+001	1.9852749E+000	-2.882740707188561E-001	1.064996068047153E-003	1.064996068047153E-003	0.000000000000000E+000	-6.790456210573515E-005
0.000000000000000E+000	0	0	0	2.420200114953332E+001	2.420200114953332E+001	1.9752667E+000	-2.883142919032827E-001	1.136273771375418E-003	1.136273771375418E-003	0.000000000000000E+000	-7.127770332826508E-005
0.000000000000000E+000	0	0	0	2.511000119266100E+001	2.511000119266100E+001	1.9652585E+000	-2.883074541180891E-001	1.208991321590212E-003	1.208991321590212E-003	0.000000000000000E+000	-7.271755021479395E-005
0.000000000000000E+000	0	0	0	2.606000123778358E+001	2.606000123778358E+001	1.9552108E+000	-2.883171151019984E-001	1.285075008355909E-003	1.285075008355909E-003	0.000000000000000E+000	-7.608368676569727E-005
0.000000000000000E+000	0	0	0	2.703200128395110E+001	2.703200128395110E+001	1.9452026E+000	-2.883216304345433E-001	1.362921852270762E-003	1.362921852270762E-003	0.000000000000000E+000	-7.784684391485320E-005
0.000000000000000E+000	0	0	0	2.803600133163854E+001	2.803600133163854E+001	1.9351943E+000	-2.883125398341848E-001	1.443329019976987E-003	1.443329019976987E-003	0.000000000000000E+000	-8.040716770622466E-005
0.000000000000000E+000	0	0	0	2.906400138046592E+001	2.906400138046592E+001	1.9251467E+000	-2.883433664698962E-001	1.525667074090905E-003	1.525667074090905E-003	0.000000000000000E+000	-8.233805411391788E-005
0.000000000000000E+000	0	0	0	3.012600143090822E+001	3.012600143090822E+001	1.9151384E+000	-2.882713742872046E-001	1.610707133544816E-003	1.610707133544816E-003	0.000000000000000E+000	-8.504005945391125E-005
