cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	Efficiency/%	
3.000000000000000E+000	1	1	0	1.209708677320272E+006	4.997922595796175E+003	2.7002144E+000	3.423017118265428E-004	4.649220423990734E-001	0.000000000000000E+000	4.649220423990734E-001	1.141005842106956E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.209828677334577E+006	5.117922610101290E+003	2.7002144E+000	3.144519679245771E-004	4.649325241325870E-001	0.000000000000000E+000	4.649325241325870E-001	1.048173351367243E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.209948677348882E+006	5.237922624406405E+003	2.7002144E+000	2.814261438158117E-004	4.649419050051658E-001	0.000000000000000E+000	4.649419050051658E-001	9.380872578814080E-006	0.0000000E+000
3.000000000000000E+000	1	1	0	1.210068677363187E+006	5.357922638711520E+003	2.7001750E+000	2.556770284212998E-004	4.649504275737958E-001	0.000000000000000E+000	4.649504275737958E-001	8.522568630012555E-006	0.0000000E+000
3.000000000000000E+000	0	1	0	1.210188677377492E+006	5.477922653016634E+003	2.7001750E+000	2.562382901840024E-004	4.649589688511535E-001	0.000000000000000E+000	4.649589688511535E-001	8.541277357666231E-006	0.0000000E+000
3.000000000000000E+000	1	1	0	1.210308677391797E+006	5.597922667321749E+003	2.7002933E+000	2.358260854319754E-004	4.649668297216050E-001	0.000000000000000E+000	4.649668297216050E-001	7.860870451487850E-006	0.0000000E+000
3.000000000000000E+000	1	1	0	1.210428677406102E+006	5.717922681626864E+003	2.7001357E+000	2.092826696657708E-004	4.649738058114254E-001	0.000000000000000E+000	4.649738058114254E-001	6.976089820473640E-006	0.0000000E+000
3.000000000000000E+000	1	1	0	1.210548677420408E+006	5.837922695931979E+003	2.7002144E+000	2.145637823561895E-004	4.649809579383566E-001	0.000000000000000E+000	4.649809579383566E-001	7.152126931139517E-006	0.0000000E+000
3.000000000000000E+000	1	1	0	1.210668677434713E+006	5.957922710237093E+003	2.7001357E+000	1.973648829463764E-004	4.649875367685724E-001	0.000000000000000E+000	4.649875367685724E-001	6.578830215803464E-006	0.0000000E+000
3.000000000000000E+000	0	1	0	1.210788677449018E+006	6.077922724542208E+003	2.7002537E+000	1.725938728572836E-004	4.649932898983535E-001	0.000000000000000E+000	4.649932898983535E-001	5.753129781069219E-006	0.0000000E+000
